,,,,,,State,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Cases,,Row Labels,Sum of Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute Diarrheal Disease,81416,,Mon,1,,Sum of Cases,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acute diarrheal disease (Klebsiella),32,,24 Paraganas North,0,,Row Labels,Acute Diarrheal Disease,Acute diarrheal disease (Klebsiella),Acute encephalitic syndrome,Acute Encephalitic Syndrome (Chandipura Virus),Acute Flaccid Paralysis,Acute Gastritis,Acute Gastroenteritis,Acute Gastroenteritis (Norovirus),Acute Hepatitis,Acute Hepatitis A,Acute Hepatitis B,Acute Hepatitis E,Acute Meningoencephalitis (Naegleria fowleri),Acute Respiratandy Illness,Adenovirus,Allergic Conjunctivitis,Amoebic Encephalitis,Animal bite - Dog Bite,Animal bite - Snake Bite,Anthrax,ARI Influenza Like Illness(ILI),Bardhaman,Brucellosis,Champaran,Chandipura Virus,Chemical Gas Poisoning,Chickenpox,Chickenpox and Measles,Chikungunya,Cholera,Crimean Congo Haemandrhagic Fever (CCHF),Cutaneous Leishmaniasis,Cutaneous Leishmaniasis (Kala Azar),Dengue,Dengue and Chikungunya,Dengue and Leptospirosis,Dengue and Scrub Typhus,Diarrhoea,Diphtheria,Dysentery,Dysentery (Shigella),Enteric Fever,Fever,Fever and Upper Respiratandy Tract Infection (URTI),Fever of Unknown andigin (PUO),Fever of Unknown Cause,Fever of Unknown Origin,Fever with Altered sensandium,Fever with Rash,Fever with Rash (Enterovirus),Filariasis,Food Poisoning,Food Poisoning (Mushroom Poisoning),Food Poisoning (NandoVirus),Food Poisoning (Shigella Sonnie),Forest Disease,Gastroenteritis,H3N2,Hand Foot and Mouth Disease,Hepatitis,Hepatitis A,Hepatitis A and E,Hepatitis B and C,Hepatitis E,HMPV,Human Rabies,Influenza,Influenza A,Japanese Encephalitis,Jatropha Seeds Poisoning,Jaundice,Jaundice of less than 4 weeks,Kala Azar,Kyasanur Fandest Disease,Leishmaniasis,Leptospirosis,Leptospirosis and Scrub Typhus,Malaria,Malaria (Plasmodium Vivax),Malaria and Dengue,Measles,Measles and Rubella,Melioidosis,Meningitis,Monkey Pox,Mpox,Mumps,Mushroom Poisoning,Nagar,Nandovirus,Nile Fever,Nilgiris,Nipah Virus,Only Fever less than 7 days,Others,Paraganas,Paratyphoid,Pertussis,Poisoning,Poliomyelitis (Vaccine-Derived Polio Virus),Primary Amoebic Meningo-encephalitis,Pyrexia of Unknown andigin (PUO),Rabies,Rubella,Scrub Typhus,Seasonal Influenza,Shigellosis,Suspected Acute Hepatitis,Suspected Anthrax,Suspected Dengue Fever,Suspected Human Rabies,Suspected Japanese Encephalitis,Suspected Mumps,Suspected Mushroom Poisoning,Suspected Typhoid,Swine Flu (H1N1),Tetanus,Typhoid,Typhoid Fever,Unknown,Visceral Leishmaniasis,West Nile Fever,Zika Virus,Grand Total
Acute encephalitic syndrome,236,,24 Paraganas South,0,,1,500,,,,,,,,,,,,,,,,,9,,,,,,,,,249,,135,99,,,,36,9,,,,3,,,25,,,,,,,20,,,894,,73,,,,23,,,79,,,,,,,,,16,,,,81,53,1,,687,,,222,,,,4,,93,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,37,,,,,,3357
Acute Encephalitic Syndrome (Chandipura Virus),317,,Adilabad,0,,2,545,,,,,,,34,16,,,,,,220,,,13,,,,,,,,,103,,72,41,,,,,,,,,1,,,,,,,,,,,,,1312,,,,5,,,,,181,,,,,2,,,,,136,,,,,15,,21,,,231,8,,,,,93,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,3064
Acute Flaccid Paralysis,3,,Agar Malwa,0,,3,587,,,,,,,,,,,,,,,,,,,,,,,,,,109,12,18,52,,,,57,,,,,,17,,,120,,,,,,76,,,1067,,,,,,,,,55,75,,8,,3,,,2,,,,,660,1,1,,,,,132,,,,,3,113,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3176
Acute Gastritis,25,,Agra,0,,4,773,,,,,,,242,,,,,,,,,,,,,,,,,,,109,,35,,,,,17,13,,,,,,,,,,,,,,21,,,1513,,,,,,,,,236,,,,,4,,,,,46,,,,,4,,24,,,151,,2,,,,114,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,91,,1,,,,3470
Acute Gastroenteritis,3936,,Ahmedabad,1,,5,816,,,,,,,,,,,,,,,,,1,,,,,,,,,384,,5,211,1,2,,20,,,,31,2,,,,7,,,,,,252,,,1490,,,,,,,,,132,101,,,,3,,,2,,27,,,73,9,2,,,,,173,19,,,,,195,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,3972
Acute Gastroenteritis (Norovirus),276,,"Ahmedabad, AMC, Arvalli, Banaskanth, Bharuch, Bhavnagar, Chhotaudepur, Dahod, Devbhumi Dwarka, Gandhinagar, Gir Somnath, GMC, Jamnagar, JMC, Kheda, Kutch, Mahisagar, Mahesana, Morbi, Narmada, Panch Mahal, Patan, Porbandar, Rajkot, RMC, Sabar Kantha, SMC, Surendranagar ,Vadodara, VMC",139,,6,1943,,,,,,1553,,,,,,,,,,,,,,,,,,,,166,,75,6,,,,33,20,,,,,,,,,,,,,,14,,,2619,,,,,,,,,184,,,17,,3,,,,,,,,,1,14,,12,,,135,,,,,,210,,,,,,,,,,,,77,,,,,1,,,39,,,,,,,,,,,40,,,,,,7162
Acute Hepatitis,16,,Ahmednagar,2,,7,1095,,,,,,,,,,,,,,,,,,,,,,,,,,135,,32,,,1,,18,,,,,,,,,28,,,,,,83,,,1018,,,,,,,,,105,,,,,2,,,12,,99,,,,,,,14,,,141,60,,,,,168,,22,,,,,,,,,,77,,,,,1,78,,,,,,,,,,,,,87,,,,,,3276
